aX,aY,aZ,gX,gY,gZ
-0.010,10.810,-11.280,-26.562,17.437,-44.813
-0.010,10.810,-11.280,-16.687,12.375,-31.750
0.570,7.570,-11.420,-16.687,12.375,-31.750
-0.440,10.310,-10.740,3.438,13.625,-1.062
-0.660,11.960,-11.330,-1.250,8.500,5.062
-0.660,11.960,-11.330,-1.250,8.500,5.062
-0.110,11.010,-11.420,8.938,5.750,-2.125
-0.180,10.140,-11.020,24.625,1.625,3.188
-0.390,10.830,-10.950,28.437,-2.438,9.750
-0.390,10.830,-10.950,20.687,-3.625,9.125
-0.430,11.150,-11.120,20.687,-3.625,9.125
-0.560,11.320,-11.880,9.438,-4.625,5.125
-0.390,11.200,-11.710,-0.625,-8.625,-0.437
-0.390,11.200,-11.710,-8.625,-9.438,-3.063
-0.240,11.010,-11.390,-8.625,-9.438,-3.063
-0.220,10.860,-11.530,-10.250,-2.438,-1.937
-0.290,10.520,-11.880,-8.938,1.000,1.375
-0.290,10.520,-11.880,-6.687,0.187,5.562
-0.260,10.540,-11.770,-6.687,0.187,5.562
-0.370,10.600,-11.680,-4.625,-2.625,8.313
-0.260,10.580,-11.460,-5.562,-4.875,8.875
-0.030,10.480,-11.890,-4.312,-4.125,10.563
-0.030,10.480,-11.890,0.625,-6.500,13.250
-0.180,10.780,-12.160,0.625,-6.500,13.250
-0.240,10.980,-12.060,1.500,-14.750,12.000
-0.160,10.860,-11.870,3.125,-23.062,8.063
-0.160,10.860,-11.870,6.562,-27.625,4.500
-0.220,10.820,-11.010,6.562,-27.625,4.500
-0.250,10.720,-10.450,1.562,-25.937,0.812
-0.210,10.360,-10.510,-1.937,-17.500,-2.625
-0.290,10.240,-10.720,-3.313,-10.563,-1.937
-0.290,10.240,-10.720,-3.313,-10.563,-1.937
-0.650,10.300,-10.850,-5.312,-8.500,0.375
-0.670,10.440,-11.030,-5.062,-6.812,1.562
-0.690,10.570,-11.160,-1.062,-4.125,1.750
-0.690,10.570,-11.160,1.562,-2.938,1.812
-0.660,10.800,-11.190,1.562,-2.938,1.812
-0.770,10.930,-10.770,2.250,-4.250,0.687
