aX,aY,aZ,gX,gY,gZ
-8.850,9.310,-12.490,25.375,-22.375,72.375
-8.850,9.310,-12.490,26.312,-15.563,63.500
-8.400,10.360,-13.780,26.312,-15.563,63.500
-7.860,10.190,-14.460,26.875,-15.500,45.438
-7.590,8.370,-15.850,32.688,-21.125,31.875
-7.590,8.370,-15.850,54.375,-38.625,33.938
-5.270,4.470,-17.010,54.375,-38.625,33.938
-3.370,7.380,-16.360,57.813,-66.688,52.000
-1.030,11.930,-15.310,50.563,-80.375,60.500
-0.080,15.040,-14.520,44.813,-82.813,46.750
-0.080,15.040,-14.520,44.813,-82.813,46.750
-4.370,14.620,-16.840,25.500,-69.188,26.062
-6.180,11.660,-18.580,2.438,-48.250,7.062
-6.180,11.660,-18.580,-1.500,-46.813,-1.250
-6.820,8.930,-19.510,-1.500,-46.813,-1.250
-6.010,7.790,-19.450,8.188,-77.250,3.563
-2.940,6.030,-15.640,17.937,-125.063,14.688
-2.910,6.320,-14.140,16.437,-152.375,30.750
-2.910,6.320,-14.140,13.188,-141.250,44.750
-3.420,8.110,-13.730,13.188,-141.250,44.750
-4.300,12.020,-14.240,25.500,-115.750,47.000
-4.870,11.660,-16.060,33.563,-93.750,40.000
-5.330,9.950,-18.520,22.000,-82.438,31.625
-5.330,9.950,-18.520,22.000,-82.438,31.625
-5.530,8.540,-20.110,-9.000,-78.875,47.125
-3.620,9.260,-18.740,-46.625,-104.313,79.313
-2.530,10.980,-16.690,-56.625,-145.187,82.000
-2.530,10.980,-16.690,-56.625,-145.187,82.000
-0.850,11.870,-14.930,-45.000,-159.062,66.438
-0.750,11.760,-13.020,-41.000,-142.062,59.813
-0.750,11.760,-13.020,-48.813,-103.750,68.438
-2.200,8.420,-13.170,-48.813,-103.750,68.438
-2.200,8.420,-13.170,-48.813,-103.750,68.438
-2.550,7.880,-12.200,-47.875,-78.875,86.125
-2.040,7.480,-11.230,-44.875,-72.250,101.750
-0.180,7.150,-9.820,-36.625,-70.000,113.813
-0.180,7.150,-9.820,-23.062,-62.688,117.250
-0.080,5.190,-11.610,-23.062,-62.688,117.250
-1.370,6.130,-13.260,-15.125,-48.313,111.250
-1.370,6.130,-13.260,-21.812,-39.688,110.313
-1.300,8.320,-14.070,-21.812,-39.688,110.313
-0.920,10.660,-14.070,-25.875,-42.250,103.813
0.160,11.920,-13.220,-21.812,-61.063,89.313
0.160,11.920,-13.220,-21.812,-61.063,89.313
0.690,10.360,-12.900,-14.000,-75.063,70.688
0.540,8.670,-12.160,-10.188,-85.375,56.625
0.540,8.670,-12.160,-13.375,-86.125,55.000
2.030,5.990,-10.240,-13.375,-86.125,55.000
3.170,5.300,-9.210,-20.500,-78.813,67.375
3.170,5.300,-9.210,-22.687,-65.625,81.250
3.920,5.230,-8.920,-22.687,-65.625,81.250
3.590,5.830,-9.250,-18.187,-43.313,88.750
3.840,8.640,-11.120,-4.312,-31.000,91.250
3.840,8.640,-11.120,-4.312,-31.000,91.250
4.020,9.960,-11.910,7.000,-29.437,87.188
3.850,11.600,-12.410,5.250,-24.750,77.563
3.850,11.600,-12.410,5.250,-24.750,77.563
4.120,13.000,-12.530,-1.437,-25.687,64.875
6.100,13.990,-12.500,-8.063,-25.937,49.438
6.650,13.560,-12.140,-2.000,-28.437,29.937
6.650,13.560,-12.140,-2.000,-28.437,29.937
7.040,13.160,-11.860,6.125,-30.562,9.313
7.040,13.160,-11.860,12.438,-22.687,-3.688
7.160,12.810,-11.410,12.438,-22.687,-3.688
5.680,10.820,-10.920,12.500,-15.750,-1.750
4.480,10.420,-11.610,5.562,-5.687,5.125
3.450,9.990,-12.420,9.813,2.500,8.250
3.450,9.990,-12.420,9.813,2.500,8.250
2.920,10.430,-13.090,24.062,-1.312,4.687
2.920,10.430,-13.090,24.062,-1.312,4.687
5.130,13.870,-12.890,29.187,-5.250,2.000
4.200,14.640,-13.350,35.375,1.687,-11.563
4.200,14.640,-13.350,28.687,-1.375,-22.937
3.990,14.040,-14.660,28.687,-1.375,-22.937
4.510,12.360,-14.500,23.562,-18.625,-62.688
4.510,12.360,-14.500,23.562,-18.625,-62.688
2.750,8.830,-13.530,8.375,-10.500,-69.438
1.740,8.530,-12.200,-2.625,-8.750,-54.500
1.740,8.530,-12.200,-2.625,-8.750,-54.500
0.430,8.490,-10.360,-1.812,-2.500,-41.563
-0.280,10.220,-6.100,19.875,10.750,-39.313
0.000,11.710,-6.210,21.250,55.375,-19.812
0.000,11.710,-6.210,17.750,73.813,-16.250
1.040,12.850,-7.600,17.750,73.813,-16.250
1.180,13.680,-9.570,28.312,87.438,-39.375
1.180,13.680,-9.570,28.312,87.438,-39.375
1.620,14.360,-13.190,20.500,94.313,-56.438
1.110,12.770,-14.060,4.125,85.625,-63.750
-1.910,11.570,-15.120,-17.375,71.313,-67.438
-1.910,11.570,-15.120,-17.375,71.313,-67.438
-4.420,12.190,-15.580,-27.375,43.000,-73.000
-4.420,12.190,-15.580,-27.375,43.000,-73.000
-2.620,12.620,-11.240,-22.812,7.687,-71.750
-2.590,12.630,-10.220,-9.375,-11.875,-60.875
-3.260,11.640,-10.950,35.125,-14.625,-71.875
-3.730,9.620,-12.090,64.688,-19.000,-78.125
-3.730,9.620,-12.090,64.688,-19.000,-78.125
-5.180,8.250,-15.820,53.250,-19.812,-56.438
-5.180,8.250,-15.820,29.250,-12.688,-35.875
-6.860,8.130,-18.240,29.250,-12.688,-35.875
-6.990,8.610,-18.240,0.125,-16.500,-16.062
-6.410,9.870,-16.570,-34.125,-22.187,3.125
-6.670,9.070,-13.980,-59.750,-5.875,2.875
-6.670,9.070,-13.980,-59.750,-5.875,2.875
-8.440,7.470,-14.750,-66.000,30.812,-15.188
-8.440,7.470,-14.750,-54.188,59.313,-37.563
-10.670,7.480,-14.740,-54.188,59.313,-37.563
-11.240,8.340,-14.400,-38.750,79.438,-39.000
-9.080,9.110,-13.730,-29.687,89.438,-32.188
-9.080,9.110,-13.730,-13.313,82.313,-38.813
-6.920,10.290,-13.110,-13.313,82.313,-38.813
-5.070,11.930,-12.830,-1.562,63.625,-55.438
-5.070,11.930,-12.830,-1.562,63.625,-55.438
-4.470,12.520,-13.310,-9.125,56.938,-76.500
-5.670,10.280,-13.470,-38.375,64.813,-82.938
-5.670,10.280,-13.470,-80.938,79.563,-52.875
-9.150,8.770,-13.440,-80.938,79.563,-52.875
-11.500,8.000,-13.950,-95.750,89.688,-17.125
-11.500,8.000,-13.950,-76.375,69.188,-2.063
-11.280,6.550,-12.880,-76.375,69.188,-2.063
-9.590,6.140,-10.840,-39.000,29.375,2.125
-9.590,6.140,-10.840,-12.438,-12.438,6.687
-7.610,7.710,-8.820,-12.438,-12.438,6.687
-5.250,9.510,-7.620,-7.437,-32.438,7.500
-2.390,12.810,-5.090,-17.312,-22.875,-11.438
-2.390,12.810,-5.090,-38.438,18.062,-29.187
-3.430,12.410,-6.630,-38.438,18.062,-29.187
-6.430,10.930,-10.020,-63.250,84.375,-30.625
-6.430,10.930,-10.020,-87.875,144.750,-19.062
-9.770,10.960,-12.950,-87.875,144.750,-19.062
-10.040,11.090,-11.920,-85.250,147.062,-11.688
-9.130,11.260,-9.990,-58.313,87.625,-29.312
-9.130,11.260,-9.990,-30.937,24.750,-58.625
-8.350,11.290,-8.190,-30.937,24.750,-58.625
-8.350,8.910,-7.040,4.062,-17.312,-89.813
-8.350,8.910,-7.040,34.625,-49.313,-104.188
